n,condition,sampling_mode,shuffle_frac,mean_abs_corr,max_abs_corr,seed,regularizer,final_loss_0,final_loss_1,final_l2_norm,min_loss_0,min_loss_1
100,iid,random_data,,0.058507157596256264,0.13434349849202143,0,WeightedAct,8.041229739319533e-05,0.0007654795772396028,25.06589698791504,7.792250835336745e-05,0.000755595276132226
100,lin_perm_p0,permuted,0.0,1.0,1.0,0,WeightedAct,4.669621921493672e-05,0.30806660652160645,11.531129837036133,3.7716556107625365e-05,0.2615920603275299
100,lin_perm_p025,permuted,0.25,0.6339413939691916,0.8474167429913475,0,WeightedAct,9.827594476519153e-05,0.013548742048442364,23.779415130615234,9.407000470673665e-05,0.01339149009436369
100,lin_perm_p05,permuted,0.5,0.37776377454549476,0.5989678930890041,0,WeightedAct,0.0001066056574927643,0.001829848624765873,25.16211700439453,0.00010295289393980056,0.0018170122057199478
100,lin_perm_p075,permuted,0.75,0.13422542135671128,0.31031502914972653,0,WeightedAct,0.00012709558359347284,0.0015925850020721555,25.216426849365234,0.0001241387944901362,0.0015632112044841051
100,lin_perm_p1,permuted,1.0,0.08052805177736343,0.1612961295324502,0,WeightedAct,0.00013592401228379458,0.0008799884817562997,24.729433059692383,0.00012891109508927912,0.000864849891513586
250,iid,random_data,,0.015311588665193146,0.026815933926685416,0,WeightedAct,0.00013799504085909575,0.0002635401615407318,25.633695602416992,0.00013423385098576546,0.00025917301536537707
250,lin_perm_p0,permuted,0.0,1.0,1.0,0,WeightedAct,4.717043702839874e-05,0.30826589465141296,11.42203140258789,4.657704630517401e-05,0.23093359172344208
250,lin_perm_p025,permuted,0.25,0.6601791387724519,0.7799660135619134,0,WeightedAct,0.00017878451035358012,0.002016269601881504,24.591001510620117,0.00017404019308742136,0.002008649054914713
250,lin_perm_p05,permuted,0.5,0.4127310811322744,0.576557192357811,0,WeightedAct,0.00014281454787123948,0.0005680730100721121,25.33017349243164,0.0001356255088467151,0.0005538614350371063
250,lin_perm_p075,permuted,0.75,0.16661885757324854,0.33589286344451313,0,WeightedAct,0.00017076244694180787,0.00034737223177216947,25.327969551086426,0.00015975757560227066,0.0003341302217449993
250,lin_perm_p1,permuted,1.0,0.04288798262299457,0.06303806507295834,0,WeightedAct,0.00012351488112471998,0.0002683598722796887,25.75747776031494,0.0001160204119514674,0.00026074747438542545
500,iid,random_data,,0.027679933988107173,0.08602258837926785,0,WeightedAct,0.00010015031148213893,0.00014882702089380473,25.956787109375,9.538805898046121e-05,0.00014520890545099974
500,lin_perm_p0,permuted,0.0,1.0,1.0,0,WeightedAct,6.821285933256149e-05,0.3081440031528473,11.668292045593262,3.60667982022278e-05,0.24798396229743958
500,lin_perm_p025,permuted,0.25,0.6399333755201081,0.7500739452677259,0,WeightedAct,0.00014950377226341516,0.0008509070612490177,24.821716944376625,0.00012939085718244314,0.0008162461454048753
500,lin_perm_p05,permuted,0.5,0.37088913055662526,0.5184456572705881,0,WeightedAct,0.0001621319242985919,0.00032644980819895864,24.983662287394203,0.00014931370969861746,0.0003135832666885108
500,lin_perm_p075,permuted,0.75,0.1333116213454009,0.27916095847182426,0,WeightedAct,0.00014773657312616706,0.00020339236652944237,25.270566940307617,0.0001461546344216913,0.00020237949502188712
500,lin_perm_p1,permuted,1.0,0.04013315230781062,0.08057648283287151,0,WeightedAct,9.828221664065495e-05,0.00014114021905697882,25.87376848856608,8.810116560198367e-05,0.00013377655704971403
1000,iid,random_data,,0.03283262358310266,0.07675919081815986,0,WeightedAct,8.382459782296792e-05,0.00010363662295276299,26.062485122680663,8.320396591443568e-05,0.00010259099508402869
1000,lin_perm_p0,permuted,0.0,1.0,1.0,0,WeightedAct,8.137693657772616e-05,0.3082842528820038,11.99021282196045,4.112474562134594e-05,0.23876826465129852
1000,lin_perm_p025,permuted,0.25,0.643919252669963,0.7709557472723919,0,WeightedAct,0.0003326720034237951,0.0007240925915539265,24.850506591796876,0.0001466521352995187,0.0005736886523663998
1000,lin_perm_p05,permuted,0.5,0.40494445246492544,0.5458662772239594,0,WeightedAct,0.0001313511747866869,0.0002077066310448572,25.727763748168943,0.00011867452849401161,0.00019840439199469984
1000,lin_perm_p075,permuted,0.75,0.15112461857104875,0.24673840482509782,0,WeightedAct,0.00027192686684429646,0.00028806988848373294,25.678339385986327,0.00011927289597224444,0.00014865760749671608
1000,lin_perm_p1,permuted,1.0,0.030343164509566867,0.10604673410342526,0,WeightedAct,0.0003512074763420969,0.0003840252757072449,24.955593490600585,0.0001838250900618732,0.00021782588737551123
