n,condition,sampling_mode,shuffle_frac,mean_abs_corr,max_abs_corr,seed,regularizer,final_loss_0,final_loss_1,final_l2_norm,min_loss_0,min_loss_1
625,iid,random_data,,0.030003554739393437,0.08285355376964779,0,WeightedAct,0.00011418599024182186,0.0001567390572745353,25.777162075042725,0.0001101615052903071,0.00015398468531202525
625,grid,grid,,0.0,0.0,0,WeightedAct,6.134116847533733e-05,0.00474987318739295,24.604053497314453,1.7945014405995607e-05,0.003298696596175432
