n,condition,sampling_mode,shuffle_frac,mean_abs_corr,max_abs_corr,seed,regularizer,final_loss_0,final_loss_1,final_l2_norm,min_loss_0,min_loss_1
16,iid,random_data,,0.16414009636148966,0.4576188900567396,0,WeightedAct,1.1296400771243498e-05,0.1147603914141655,18.683639526367188,9.490401680523064e-06,0.11221762001514435
16,grid,grid,,0.0,0.0,0,WeightedAct,5.601729753834661e-06,0.35022643208503723,7.997005462646484,3.382668865015148e-06,0.2617082893848419
81,iid,random_data,,0.06776905128784534,0.11541193205702861,0,WeightedAct,0.0001040703064063564,0.0011560175335034728,25.27042007446289,0.00010075551108457148,0.001155008445493877
81,grid,grid,,0.0,0.0,0,WeightedAct,5.710064669983694e-06,0.09398238360881805,13.164579391479492,3.6404892398422817e-06,0.09146661311388016
256,iid,random_data,,0.014791157797526598,0.02860872951243932,0,WeightedAct,0.00011839637591037899,0.00022518042533192784,25.624414443969727,0.00011526256275828928,0.00021625045337714255
256,grid,grid,,0.0,0.0,0,WeightedAct,1.7136828319053166e-05,0.01488389354199171,22.550904273986816,9.938496077666059e-06,0.013566282577812672
